Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
NHL 2005,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,75,No,0.05,0.01,NA,NA,0.07
NHL 2K3,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,89,No,0.01,NA,NA,NA,0.02
NHL Hitz 20-02,Midway Games,Midway Games,Sports,Sports,2001,2002,E,EE10,4,4,79,No,0.16,0.04,NA,0.01,0.21
NHL Hitz 20-03,Midway Games,Midway Games,Sports,Sports,2002,2002,E,EE10,4,4,82,No,0.06,0.02,NA,NA,0.08
NHL Hitz Pro,Midway Games,Midway Games,Sports,Sports,2003,2003,E,EE10,4,4,81,No,0.03,0.01,NA,NA,0.04
Nickelodeon Party Blast,Atari,Atari,Party,Other,2002,2002,E,EE10,4,4,NA,No,0.19,0.05,NA,0.01,0.25
Nicktoons: Battle for Volcano Island,THQ,THQ,ActionAdventure,ActionAdventure,2006,2005,E,EE10,4,4,NA,No,0.22,0.06,NA,0.01,0.29
Nicktoons: Unite!,THQ,THQ,ActionAdventure,ActionAdventure,2005,2005,E,EE10,2,2,NA,No,0.27,0.07,NA,0.01,0.35
Nintendo Puzzle Collection,Nintendo,Nintendo,Puzzle,Other,2003,2003,NA,NA,2,2,NA,Yes,NA,NA,0.13,NA,0.13
Odama,Nintendo,Nintendo,Strategy,Other,2006,2005,E10,EE10,1,1,62,Yes,0.07,0.02,0.02,NA,0.11
Ohenro-San: Hosshin no Dojo,Pin Change,Other,ActionAdventure,ActionAdventure,2003,2003,NA,NA,1,1,NA,Yes,NA,NA,NA,NA,NA
One Piece: Grand Adventure,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2006,2005,T,TM,2,2,70,No,0.03,0.01,NA,NA,0.04
One Piece: Grand Battle,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2005,2005,T,TM,2,2,67,No,0.05,0.01,NA,NA,0.06
One Piece: Grand Battle! 3,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2003,2003,NA,NA,2,2,NA,No,NA,NA,0.2,0.01,0.2
One Piece: Pirates Carnival,Namco Bandai Games,Namco Bandai Games,Party,Other,2005,2005,E,EE10,4,4,49,No,0.06,0.02,NA,NA,0.08
One Piece: Treasure Battle!,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2002,2002,NA,NA,4,4,NA,Yes,NA,NA,0.28,0.01,0.29
Open Season,Ubisoft,Ubisoft,Platformer,Platformer,2006,2005,E10,EE10,4,4,59,No,0.13,0.03,NA,NA,0.17
Outlaw Golf,Take-Two Interactive,Take-Two Interactive,Sports,Sports,2002,2002,T,TM,4,4,69,No,0.06,0.02,NA,NA,0.08
Over the Hedge,Activision,Activision,Platformer,Platformer,2006,2005,E10,EE10,2,2,61,No,0.27,0.07,NA,0.01,0.35
P.N.03 - Product Number Three,Capcom,Capcom,Shooter,Shooter,2003,2003,T,TM,1,1,63,Yes,0.06,0.02,NA,NA,0.08
Pac-Man Fever,Namco Bandai Games,Namco Bandai Games,Party,Other,2002,2002,E,EE10,4,4,54,No,0.21,0.06,NA,0.01,0.28
Pac-Man Player's Choice Bundle,Namco Bandai Games,Namco Bandai Games,Collection,Other,2003,2003,E,EE10,4,4,NA,Yes,0.48,0.12,NA,0.02,0.62
Pac-Man vs.,Namco Bandai Games,Namco Bandai Games,Puzzle,Other,2003,2003,E,EE10,4,4,78,Yes,NA,NA,NA,NA,NA
Pac-Man World 2,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2002,2002,E,EE10,1,1,74,No,0.28,0.07,NA,0.01,0.37
Pac-Man World 3,Namco Bandai Games,Namco Bandai Games,Platformer,Platformer,2005,2005,E,EE10,1,1,66,No,0.07,0.02,NA,NA,0.09
Pac-Man World Rally,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2006,2005,E,EE10,2,2,57,No,0.06,0.02,NA,NA,0.08
Paper Mario: The Thousand-Year Door,Nintendo,Nintendo,RolePlaying,RolePlaying,2004,2004,E,EE10,1,1,87,Yes,1.48,0.25,0.46,0.06,2.25
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2005,2005,T,TM,1,1,81,No,0.19,0.05,NA,0.01,0.24
Phantasy Star Online Episode I & II,Sega,Sega,RolePlaying,RolePlaying,2002,2002,T,TM,4,4,85,No,0.23,0.06,0.16,0.01,0.45
Phantasy Star Online Episode I & II Plus,Sega,Sega,RolePlaying,RolePlaying,2003,2003,T,TM,4,4,NA,No,0.04,0.01,NA,NA,0.05
Phantasy Star Online Episode III: C.A.R.D. Revolution,Sega,Sega,RolePlaying,RolePlaying,2003,2003,T,TM,4,4,71,Yes,0.06,0.02,NA,NA,0.08
Piglet's Big Game,Gotham Games,Other,Platformer,Platformer,2003,2003,E,EE10,1,1,70,No,0.04,0.01,NA,NA,0.05
Pikmin,Nintendo,Nintendo,Strategy,Other,2001,2002,E,EE10,1,1,89,Yes,0.78,0.25,0.56,0.04,1.63
Pikmin 2,Nintendo,Nintendo,Strategy,Other,2004,2004,E,EE10,2,2,90,Yes,0.48,0.13,0.56,0.03,1.2
Pinball Hall of Fame: The Gottlieb Collection,Crave Entertainment,Other,Miscellaneous,Other,2005,2005,E,EE10,4,4,64,No,0.04,0.01,NA,NA,0.05
Pitfall: The Lost Expedition,Activision,Activision,Platformer,Platformer,2004,2004,E,EE10,1,1,73,No,0.06,0.02,NA,NA,0.08
Pokemon Box: Ruby and Sapphire,Nintendo,Nintendo,Miscellaneous,Other,2003,2003,E,EE10,1,1,NA,Yes,NA,NA,0.27,0.01,0.28
Pokemon Channel,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2003,2003,E,EE10,1,1,55,Yes,0.24,0.06,0.07,0.01,0.38
Pokemon Colosseum,Nintendo,Nintendo,RolePlaying,RolePlaying,2003,2003,E,EE10,4,4,73,Yes,1.21,0.57,0.7,0.07,2.54
Pokemon XD: Gale of Darkness,Nintendo,Nintendo,RolePlaying,RolePlaying,2005,2005,E,EE10,4,4,64,Yes,0.71,0.19,0.31,0.03,1.25
Pool Edge,Media Kite,Other,Sports,Sports,2002,2002,E,EE10,2,2,76,Yes,NA,NA,NA,NA,NA
Power Rangers: Dino Thunder,THQ,THQ,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,49,No,0.31,0.08,NA,0.01,0.4
Prince of Persia: The Sands of Time,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2003,2003,T,TM,1,1,92,No,0.25,0.06,NA,0.01,0.32
Prince of Persia: The Two Thrones,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2005,2005,T,TM,1,1,84,No,0.11,0.03,NA,NA,0.15
Prince of Persia: Warrior Within,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,83,No,0.15,0.04,NA,0.01,0.2
Pro Rally,Ubisoft,Ubisoft,Racing,Racing,2002,2002,E,EE10,2,2,64,No,0.01,NA,NA,NA,0.02
Puyo Pop Fever,Sega,Sega,Puzzle,Other,2004,2004,E,EE10,2,2,72,No,0.01,NA,NA,NA,0.01
R: Racing Evolution,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2003,2003,T,TM,2,2,67,No,0.06,0.02,NA,NA,0.08
Radirgy Generic,Milestone,Other,Shooter,Shooter,2006,2005,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
Rally Championship,SCi,Other,Racing,Racing,2003,2003,E,EE10,2,2,63,No,0.01,NA,NA,NA,0.01
Rampage: Total Destruction,Midway Games,Midway Games,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,4,4,57,No,0.31,0.08,NA,0.01,0.4
Ratatouille,THQ,THQ,Platformer,Platformer,2007,2005,E,EE10,4,4,60,No,0.11,0.03,NA,NA,0.14
Rave Master,Konami Digital Entertainment,Konami Digital Entertainment,Fighting,Fighting,2002,2002,T,TM,4,4,60,Yes,NA,NA,0.05,NA,0.05
Rayman 3: Hoodlum Havoc,Ubisoft,Ubisoft,Platformer,Platformer,2003,2003,E,EE10,1,1,77,No,0.05,0.01,NA,NA,0.07
